sep=,
timestamp, deadSpace, offset, spikeWidth, ratio, X, Y, Z, area, sensor1, sensor2, sensor3, sensor4, sensor5, sensor6, sensor7
2017-07-29T14:22:52+02:00,100,100,75,70,0,0,-42.298,1.25,903, 137, 909, 930, 944, 938, 982
2017-07-29T14:22:54+02:00,100,100,75,70,0,1,-42.303,1.25,907, 144, 853, 934, 947, 931, 977
2017-07-29T14:22:56+02:00,100,100,75,70,0,2,-42.298,1.25,914, 153, 778, 932, 938, 931, 962
2017-07-29T14:22:58+02:00,100,100,75,70,0,3,-42.303,1.25,931, 158, 708, 927, 934, 937, 978
2017-07-29T14:22:59+02:00,100,100,75,70,0,4,-42.298,1.25,923, 167, 657, 935, 943, 936, 972
2017-07-29T14:23:01+02:00,100,100,75,70,0,5,-42.298,1.25,928, 171, 616, 938, 939, 932, 974
2017-07-29T14:23:03+02:00,100,100,75,70,0,6,-42.303,1.25,929, 176, 530, 930, 938, 931, 976
2017-07-29T14:23:05+02:00,100,100,75,70,0,7,-42.298,1.25,912, 181, 470, 920, 933, 928, 981
2017-07-29T14:23:07+02:00,100,100,75,70,0,8,-42.303,1.25,920, 186, 420, 943, 952, 928, 970
2017-07-29T14:23:08+02:00,100,100,75,70,0,9,-42.298,1.25,917, 194, 370, 944, 933, 924, 982
2017-07-29T14:23:10+02:00,100,100,75,70,0,10,-42.298,1.25,920, 213, 341, 928, 931, 931, 975
2017-07-29T14:23:12+02:00,100,100,75,70,0,11,-42.303,1.25,915, 231, 327, 931, 939, 928, 976
2017-07-29T14:23:14+02:00,100,100,75,70,0,12,-42.298,1.25,920, 254, 315, 940, 938, 939, 971
2017-07-29T14:23:15+02:00,100,100,75,70,0,13,-42.303,1.25,909, 278, 305, 937, 935, 934, 986
2017-07-29T14:23:17+02:00,100,100,75,70,0,14,-42.298,1.25,911, 314, 290, 930, 931, 938, 983
2017-07-29T14:23:19+02:00,100,100,75,70,0,15,-42.298,1.25,913, 335, 274, 936, 928, 935, 985
2017-07-29T14:23:21+02:00,100,100,75,70,0,16,-42.303,1.25,924, 361, 259, 934, 935, 934, 982
2017-07-29T14:23:22+02:00,100,100,75,70,0,17,-42.298,1.25,913, 385, 233, 928, 926, 926, 977
2017-07-29T14:23:24+02:00,100,100,75,70,0,18,-42.303,1.25,918, 433, 240, 945, 932, 925, 978
2017-07-29T14:23:26+02:00,100,100,75,70,0,19,-42.298,1.25,902, 464, 225, 952, 929, 933, 981
2017-07-29T14:23:28+02:00,100,100,75,70,0,20,-42.298,1.25,903, 499, 221, 928, 934, 938, 972
2017-07-29T14:23:29+02:00,100,100,75,70,0,21,-42.303,1.25,915, 563, 223, 938, 939, 940, 983
2017-07-29T14:23:31+02:00,100,100,75,70,0,22,-42.298,1.25,898, 605, 219, 926, 935, 932, 993
2017-07-29T14:23:33+02:00,100,100,75,70,0,23,-42.303,1.25,906, 730, 223, 927, 937, 932, 983
2017-07-29T14:23:35+02:00,100,100,75,70,0,24,-42.298,1.25,901, 838, 232, 927, 949, 933, 986
2017-07-29T14:23:37+02:00,100,100,75,70,0,25,-42.298,1.25,904, 873, 240, 887, 925, 922, 970
2017-07-29T14:23:38+02:00,100,100,75,70,0,26,-42.303,1.25,906, 873, 247, 740, 937, 937, 981
2017-07-29T14:23:40+02:00,100,100,75,70,0,27,-42.298,1.25,896, 874, 236, 703, 926, 923, 971
2017-07-29T14:23:42+02:00,100,100,75,70,0,28,-42.303,1.25,904, 885, 241, 648, 936, 924, 972
2017-07-29T14:23:44+02:00,100,100,75,70,0,29,-42.298,1.25,899, 886, 243, 670, 940, 927, 974
2017-07-29T14:23:45+02:00,100,100,75,70,0,30,-42.298,1.25,913, 873, 251, 579, 943, 924, 971
