timestamp,  deadSpace,  offset,  spikeWidth,  ratio,  Y,  X,  Z,  area,  strip1,  strip2,  strip3,  strip4,  strip5,  strip6,  strip7
2017-07-31T18:29:54+02:00,100,100,75,70,0,0,-47.098,2.5,878, 230, 709, 956, 960, 953, 981
2017-07-31T18:29:55+02:00,100,100,75,70,0,1,-47.103,2.5,898, 223, 648, 964, 975, 960, 978
2017-07-31T18:29:57+02:00,100,100,75,70,0,2,-47.103,2.5,933, 233, 567, 980, 968, 962, 975
2017-07-31T18:29:59+02:00,100,100,75,70,0,3,-47.098,2.5,958, 234, 523, 965, 965, 952, 984
2017-07-31T18:30:01+02:00,100,100,75,70,0,4,-47.098,2.5,958, 252, 498, 980, 970, 946, 975
2017-07-31T18:30:02+02:00,100,100,75,70,0,5,-47.098,2.5,941, 260, 437, 964, 973, 956, 980
2017-07-31T18:30:04+02:00,100,100,75,70,0,6,-47.103,2.5,948, 272, 409, 967, 972, 960, 969
2017-07-31T18:30:06+02:00,100,100,75,70,0,7,-47.103,2.5,948, 288, 362, 975, 978, 955, 977
2017-07-31T18:30:07+02:00,100,100,75,70,0,8,-47.098,2.5,950, 312, 332, 976, 976, 954, 969
2017-07-31T18:30:09+02:00,100,100,75,70,0,9,-47.098,2.5,945, 335, 298, 989, 993, 957, 973
2017-07-31T18:30:11+02:00,100,100,75,70,0,10,-47.098,2.5,948, 340, 276, 962, 969, 964, 994
2017-07-31T18:30:13+02:00,100,100,75,70,0,11,-47.103,2.5,952, 353, 264, 963, 973, 955, 972
2017-07-31T18:30:14+02:00,100,100,75,70,0,12,-47.103,2.5,949, 390, 253, 973, 971, 955, 982
2017-07-31T18:30:16+02:00,100,100,75,70,0,13,-47.098,2.5,948, 412, 234, 952, 971, 952, 980
2017-07-31T18:30:18+02:00,100,100,75,70,0,14,-47.098,2.5,963, 452, 234, 975, 984, 950, 972
2017-07-31T18:30:19+02:00,100,100,75,70,0,15,-47.098,2.5,948, 463, 223, 966, 991, 958, 979
2017-07-31T18:30:21+02:00,100,100,75,70,0,16,-47.103,2.5,947, 501, 225, 963, 959, 954, 985
2017-07-31T18:30:23+02:00,100,100,75,70,0,17,-47.103,2.5,949, 543, 211, 957, 962, 964, 973
2017-07-31T18:30:24+02:00,100,100,75,70,0,18,-47.098,2.5,952, 580, 203, 968, 981, 961, 972
2017-07-31T18:30:26+02:00,100,100,75,70,0,19,-47.098,2.5,967, 618, 193, 977, 975, 967, 970
2017-07-31T18:30:28+02:00,100,100,75,70,0,20,-47.098,2.5,958, 666, 195, 956, 974, 955, 970
2017-07-31T18:30:30+02:00,100,100,75,70,0,21,-47.103,2.5,961, 737, 195, 908, 975, 949, 970
2017-07-31T18:30:31+02:00,100,100,75,70,0,22,-47.103,2.5,940, 764, 187, 812, 973, 960, 975
2017-07-31T18:30:33+02:00,100,100,75,70,0,23,-47.098,2.5,957, 809, 189, 760, 972, 957, 979
2017-07-31T18:30:35+02:00,100,100,75,70,0,24,-47.098,2.5,941, 862, 189, 687, 968, 958, 969
2017-07-31T18:30:36+02:00,100,100,75,70,0,25,-47.098,2.5,949, 913, 194, 602, 986, 955, 974
2017-07-31T18:30:38+02:00,100,100,75,70,0,26,-47.103,2.5,959, 938, 195, 536, 985, 966, 970
2017-07-31T18:30:40+02:00,100,100,75,70,0,27,-47.103,2.5,966, 971, 211, 475, 997, 965, 975
