timestamp,  deadSpace,  offset,  spikeWidth,  ratio,  Y,  X,  Z,  area,  strip1,  strip2,  strip3,  strip4,  strip5,  strip6,  strip7
2017-07-27T01:22:53+02:00,100,100,95,100,0,0,-68.199,1.25,624, 91, 832, 890, 881, 945, 950
2017-07-27T01:22:55+02:00,100,100,95,100,0,1,-68.199,1.25,726, 86, 838, 886, 877, 938, 957
2017-07-27T01:22:56+02:00,100,100,95,100,0,2,-68.199,1.25,812, 82, 825, 892, 903, 945, 956
2017-07-27T01:22:58+02:00,100,100,95,100,0,3,-68.204,1.25,913, 75, 784, 891, 897, 948, 972
2017-07-27T01:22:59+02:00,100,100,95,100,0,4,-68.199,1.25,932, 72, 735, 882, 877, 930, 954
2017-07-27T01:23:01+02:00,100,100,95,100,0,5,-68.199,1.25,944, 69, 645, 877, 884, 928, 947
2017-07-27T01:23:02+02:00,100,100,95,100,0,6,-68.199,1.25,946, 66, 557, 865, 879, 933, 966
2017-07-27T01:23:04+02:00,100,100,95,100,0,7,-68.199,1.25,953, 64, 527, 886, 878, 930, 958
2017-07-27T01:23:05+02:00,100,100,95,100,0,8,-68.204,1.25,934, 62, 465, 879, 894, 923, 963
2017-07-27T01:23:07+02:00,100,100,95,100,0,9,-68.199,1.25,940, 65, 420, 874, 880, 938, 960
2017-07-27T01:23:08+02:00,100,100,95,100,0,10,-68.199,1.25,943, 68, 331, 887, 875, 934, 962
2017-07-27T01:23:10+02:00,100,100,95,100,0,11,-68.199,1.25,953, 69, 292, 876, 872, 916, 961
2017-07-27T01:23:11+02:00,100,100,95,100,0,12,-68.199,1.25,954, 72, 249, 891, 893, 937, 971
2017-07-27T01:23:13+02:00,100,100,95,100,0,13,-68.204,1.25,956, 78, 213, 865, 869, 929, 961
2017-07-27T01:23:14+02:00,100,100,95,100,0,14,-68.199,1.25,952, 84, 181, 883, 891, 933, 953
2017-07-27T01:23:16+02:00,100,100,95,100,0,15,-68.199,1.25,957, 90, 163, 876, 880, 937, 947
2017-07-27T01:23:17+02:00,100,100,95,100,0,16,-68.199,1.25,942, 99, 152, 889, 902, 943, 964
2017-07-27T01:23:19+02:00,100,100,95,100,0,17,-68.199,1.25,958, 107, 153, 880, 875, 947, 959
2017-07-27T01:23:20+02:00,100,100,95,100,0,18,-68.204,1.25,954, 122, 134, 872, 880, 939, 965
2017-07-27T01:23:22+02:00,100,100,95,100,0,19,-68.199,1.25,965, 145, 128, 880, 880, 924, 957
2017-07-27T01:23:23+02:00,100,100,95,100,0,20,-68.199,1.25,955, 171, 117, 874, 887, 936, 968
2017-07-27T01:23:25+02:00,100,100,95,100,0,21,-68.199,1.25,959, 212, 111, 881, 884, 952, 975
2017-07-27T01:23:26+02:00,100,100,95,100,0,22,-68.199,1.25,951, 268, 105, 877, 891, 929, 951
2017-07-27T01:23:28+02:00,100,100,95,100,0,23,-68.204,1.25,968, 326, 105, 881, 892, 942, 960
2017-07-27T01:23:29+02:00,100,100,95,100,0,24,-68.199,1.25,960, 405, 104, 864, 897, 939, 963
2017-07-27T01:23:31+02:00,100,100,95,100,0,25,-68.199,1.25,955, 561, 104, 881, 892, 936, 950
2017-07-27T01:23:32+02:00,100,100,95,100,0,26,-68.199,1.25,956, 662, 106, 863, 886, 936, 966
2017-07-27T01:23:34+02:00,100,100,95,100,0,27,-68.199,1.25,971, 776, 106, 858, 879, 945, 959
2017-07-27T01:23:35+02:00,100,100,95,100,0,28,-68.204,1.25,972, 832, 104, 854, 898, 936, 974
2017-07-27T01:23:37+02:00,100,100,95,100,0,29,-68.199,1.25,956, 864, 100, 749, 882, 934, 965
2017-07-27T01:23:38+02:00,100,100,95,100,0,30,-68.199,1.25,956, 854, 94, 639, 885, 942, 977
2017-07-27T01:23:40+02:00,100,100,95,100,0,31,-68.199,1.25,959, 917, 90, 582, 874, 930, 962
2017-07-27T01:23:41+02:00,100,100,95,100,0,32,-68.199,1.25,951, 913, 91, 491, 895, 943, 970
2017-07-27T01:23:43+02:00,100,100,95,100,0,33,-68.204,1.25,955, 917, 95, 442, 871, 928, 962
2017-07-27T01:23:44+02:00,100,100,95,100,0,34,-68.199,1.25,954, 899, 95, 389, 883, 935, 970
