X,Y,Z,strip1,strip2,strip3,strip4,strip5,strip6,strip7
0,0,0,406,66,324,896,873,881,877
1,0,0,425,67,267,906,877,878,878
2,0,0,472,67,237,895,876,884,879
3,0,0,546,66,221,900,889,889,887
4,0,0,603,69,192,890,853,881,864
5,0,0,633,70,176,890,877,879,874
6,0,0,696,75,170,875,875,868,877
7,0,0,776,75,157,895,885,874,888
8,0,0,855,73,151,880,873,873,876
9,0,0,894,80,133,883,886,879,887
10,0,0,933,85,128,875,869,870,874
11,0,0,927,86,120,892,882,881,891
12,0,0,929,89,111,870,879,879,888
13,0,0,937,95,109,869,892,883,890
14,0,0,947,105,100,878,887,881,881
15,0,0,951,105,98,882,882,888,882
16,0,0,958,115,89,879,875,883,878
17,0,0,958,123,87,879,899,889,886
18,0,0,968,137,84,887,892,894,881
19,0,0,971,156,85,880,913,898,884
20,0,0,970,170,78,767,898,891,890
21,0,0,970,198,77,680,920,901,887
22,0,0,958,234,76,599,931,898,889
23,0,0,989,277,77,537,912,887,882
24,0,0,958,297,72,485,912,901,899
25,0,0,961,352,73,426,932,888,873
26,0,0,978,399,73,370,914,898,879
27,0,0,952,438,73,317,920,912,882
28,0,0,972,492,73,267,896,889,875
29,0,0,965,542,77,240,914,889,867
30,0,0,956,586,75,214,937,904,881
31,0,0,969,741,82,192,911,910,865
32,0,0,958,836,87,166,900,894,878
33,0,0,959,877,89,151,908,903,886
34,0,0,947,901,97,138,888,896,876
35,0,0,951,927,98,126,910,895,868
36,0,0,951,915,104,117,915,900,879
37,0,0,943,919,115,105,911,896,885
38,0,0,931,948,115,98,921,897,881
39,0,0,931,937,119,89,910,900,880
40,0,0,919,921,120,86,883,885,877
41,0,0,938,947,135,84,885,916,885
42,0,0,934,946,143,82,869,916,877
43,0,0,921,959,156,78,879,923,878
44,0,0,944,959,179,75,803,928,881
45,0,0,927,964,200,71,763,937,893
46,0,0,930,934,243,72,650,925,884
47,0,0,936,952,298,70,536,932,901
48,0,0,933,942,345,69,425,928,893
49,0,0,925,950,393,70,350,912,897
50,0,0,933,937,423,67,304,931,891
51,0,0,938,960,480,71,277,945,899
52,0,0,941,946,527,71,245,938,887
53,0,0,936,952,572,75,214,930,896
54,0,0,941,947,627,73,198,924,897
55,0,0,943,952,653,79,181,924,885
56,0,0,943,935,756,79,161,929,912
57,0,0,936,936,859,86,143,920,892
58,0,0,923,931,880,89,139,933,899
59,0,0,934,931,888,95,119,911,893
60,0,0,947,948,920,103,111,916,898
61,0,0,943,945,922,107,97,899,894
62,0,0,928,911,917,113,87,909,901
63,0,0,922,925,917,129,79,910,900
64,0,0,939,959,926,137,76,900,908
65,0,0,927,935,929,146,71,906,923
66,0,0,940,951,927,158,68,902,922
67,0,0,940,938,936,173,65,894,930
68,0,0,928,934,924,190,62,841,916
69,0,0,932,942,932,209,60,639,927
70,0,0,921,918,914,233,58,503,912
0,-2.5,0,406,69,319,913,863,887,911
1,-2.5,0,445,71,273,906,871,902,888
2,-2.5,0,480,68,253,919,867,898,888
3,-2.5,0,537,71,225,890,876,897,894
4,-2.5,0,595,71,206,888,876,885,890
5,-2.5,0,685,72,190,881,870,871,885
6,-2.5,0,751,74,173,890,874,880,892
7,-2.5,0,827,76,164,879,885,891,897
8,-2.5,0,892,85,150,901,903,892,890
9,-2.5,0,922,85,144,878,886,883,909
10,-2.5,0,932,86,136,883,916,881,898
11,-2.5,0,948,89,122,883,893,886,882
12,-2.5,0,949,94,118,886,912,887,903
13,-2.5,0,957,102,117,881,895,899,882
14,-2.5,0,951,103,109,871,894,886,898
15,-2.5,0,963,109,101,873,911,891,890
16,-2.5,0,972,119,95,863,900,899,888
17,-2.5,0,974,131,96,880,904,890,889
18,-2.5,0,962,144,87,829,910,903,893
19,-2.5,0,970,165,84,806,925,890,892
20,-2.5,0,962,185,77,747,910,905,893
21,-2.5,0,964,210,80,690,910,896,876
22,-2.5,0,957,239,78,639,944,900,890
23,-2.5,0,962,276,73,565,938,902,879
24,-2.5,0,963,331,77,493,941,897,880
25,-2.5,0,965,359,78,436,930,901,885
26,-2.5,0,956,414,77,364,910,898,891
27,-2.5,0,940,440,73,321,926,894,878
28,-2.5,0,972,508,79,293,945,902,879
29,-2.5,0,964,565,82,248,913,910,872
30,-2.5,0,957,703,85,222,916,903,892
31,-2.5,0,954,831,88,191,911,904,887
32,-2.5,0,963,872,93,171,897,899,866
33,-2.5,0,941,885,96,157,900,895,882
34,-2.5,0,946,921,98,139,894,900,876
35,-2.5,0,951,910,101,126,904,897,879
36,-2.5,0,931,924,108,116,926,898,878
37,-2.5,0,932,924,112,107,915,892,885
38,-2.5,0,938,966,111,100,909,887,875
39,-2.5,0,923,949,123,96,904,907,880
40,-2.5,0,921,955,128,88,893,907,873
41,-2.5,0,932,973,145,85,909,922,880
42,-2.5,0,929,954,154,79,865,924,876
43,-2.5,0,933,965,170,79,812,932,885
44,-2.5,0,934,982,201,77,748,921,886
45,-2.5,0,919,947,227,75,707,930,899
46,-2.5,0,939,955,266,73,580,937,887
47,-2.5,0,933,967,309,74,500,941,888
48,-2.5,0,924,973,365,75,411,931,894
49,-2.5,0,934,966,404,71,348,932,891
50,-2.5,0,944,988,456,72,305,942,894
51,-2.5,0,929,959,487,72,252,949,898
52,-2.5,0,936,959,525,72,236,930,898
53,-2.5,0,937,958,566,76,216,937,890
54,-2.5,0,925,943,625,74,205,930,885
55,-2.5,0,914,953,738,78,176,933,891
56,-2.5,0,935,943,864,84,161,945,896
57,-2.5,0,923,949,872,83,145,959,898
58,-2.5,0,933,935,895,90,130,918,900
59,-2.5,0,924,936,918,95,117,925,890
60,-2.5,0,934,912,902,99,111,936,899
61,-2.5,0,921,933,919,104,101,917,900
62,-2.5,0,932,957,938,116,94,908,892
63,-2.5,0,910,925,912,126,87,913,917
64,-2.5,0,931,949,930,134,78,915,915
65,-2.5,0,922,956,934,144,75,908,915
66,-2.5,0,933,937,931,155,67,915,921
67,-2.5,0,939,947,921,176,66,845,926
68,-2.5,0,922,916,932,194,62,683,922
69,-2.5,0,918,950,932,218,63,520,937
70,-2.5,0,928,954,935,230,60,466,932
0,-5,0,408,69,310,900,873,889,897
1,-5,0,440,70,270,894,869,877,887
2,-5,0,492,67,245,914,882,889,886
3,-5,0,570,71,223,907,885,891,885
4,-5,0,667,72,206,920,864,881,877
5,-5,0,714,72,191,898,886,882,881
6,-5,0,788,77,178,913,915,895,894
7,-5,0,854,75,164,885,900,887,893
8,-5,0,904,81,151,885,883,886,889
9,-5,0,932,79,146,900,895,880,889
10,-5,0,942,89,134,904,905,892,904
11,-5,0,937,92,126,881,899,891,898
12,-5,0,943,94,119,878,889,887,895
13,-5,0,950,101,111,874,902,888,881
14,-5,0,952,109,107,873,896,900,897
15,-5,0,964,111,100,864,904,892,893
16,-5,0,964,123,97,878,898,905,907
17,-5,0,957,137,94,885,898,888,891
18,-5,0,959,158,88,828,934,903,894
19,-5,0,960,175,85,765,919,887,886
20,-5,0,959,196,83,749,929,897,886
21,-5,0,969,231,79,655,933,897,877
22,-5,0,959,265,80,610,930,896,900
23,-5,0,966,299,79,544,908,897,885
24,-5,0,959,352,83,524,944,905,890
25,-5,0,958,374,80,455,930,921,888
26,-5,0,960,434,78,389,947,899,888
27,-5,0,966,488,81,315,936,910,892
28,-5,0,961,529,83,278,912,893,890
