X,Y,Z,strip1,strip2,strip3,strip4,strip5,strip6,strip7
0,0.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0,0,0.6496,0.8483,0.0822,0.0000,0.0233,0.0000,0.0000
1,0.0,0,0.6263,0.8540,0.0891,0.0000,0.0000,0.0000,0.0000
2,0.0,0,0.5773,0.8662,0.1079,0.0000,0.0093,0.0000,0.0000
3,0.0,0,0.5214,0.8728,0.1807,0.0000,0.0183,0.0000,0.0000
4,0.0,0,0.4519,0.8747,0.2745,0.0000,0.0014,0.0000,0.0000
5,0.0,0,0.3677,0.8760,0.3162,0.0000,0.0000,0.0000,0.0000
6,0.0,0,0.2882,0.8724,0.3688,0.0000,0.0038,0.0000,0.0000
7,0.0,0,0.2210,0.8709,0.4576,0.0000,0.0089,0.0000,0.0000
8,0.0,0,0.0954,0.8716,0.5015,0.0000,0.0144,0.0000,0.0000
9,0.0,0,0.0698,0.8689,0.5703,0.0000,0.0000,0.0000,0.0000
10,0.0,0,0.0485,0.8732,0.6151,0.0000,0.0000,0.0000,0.0000
11,0.0,0,0.0327,0.8681,0.6435,0.0000,0.0262,0.0054,0.0000
12,0.0,0,0.0517,0.8693,0.6942,0.0000,0.0218,0.0000,0.0000
13,0.0,0,0.0429,0.8647,0.7146,0.0059,0.0250,0.0024,0.0000
14,0.0,0,0.0280,0.8621,0.7433,0.0060,0.0082,0.0000,0.0000
15,0.0,0,0.0160,0.8627,0.7663,0.0014,0.0240,0.0003,0.0000
16,0.0,0,0.0065,0.8590,0.7895,0.0000,0.0225,0.0000,0.0000
17,0.0,0,0.0051,0.8556,0.8117,0.0021,0.0203,0.0000,0.0000
18,0.0,0,0.0000,0.8513,0.8161,0.0204,0.0200,0.0000,0.0000
19,0.0,0,0.0049,0.8459,0.8315,0.0157,0.0276,0.0000,0.0000
20,0.0,0,0.0000,0.8346,0.8417,0.0271,0.0124,0.0000,0.0000
21,0.0,0,0.0000,0.8101,0.8423,0.0251,0.0073,0.0000,0.0000
22,0.0,0,0.0000,0.8008,0.8552,0.0313,0.0123,0.0000,0.0000
23,0.0,0,0.0000,0.7747,0.8581,0.0482,0.0121,0.0000,0.0000
24,0.0,0,0.0000,0.7594,0.8605,0.0507,0.0000,0.0000,0.0000
25,0.0,0,0.0000,0.7248,0.8638,0.0595,0.0000,0.0000,0.0000
26,0.0,0,0.0000,0.6883,0.8702,0.0758,0.0000,0.0000,0.0000
27,0.0,0,0.0000,0.6487,0.8722,0.1175,0.0009,0.0000,0.0000
28,0.0,0,0.0000,0.6038,0.8764,0.1583,0.0000,0.0000,0.0000
29,0.0,0,0.0000,0.5733,0.8810,0.2645,0.0018,0.0002,0.0000
30,0.0,0,0.0000,0.4700,0.8817,0.3328,0.0000,0.0000,0.0000
31,0.0,0,0.0000,0.3549,0.8828,0.4028,0.0000,0.0000,0.0000
32,0.0,0,0.0000,0.1686,0.8830,0.4797,0.0000,0.0000,0.0000
33,0.0,0,0.0000,0.0800,0.8810,0.5604,0.0020,0.0000,0.0000
34,0.0,0,0.0000,0.0705,0.8807,0.6249,0.0000,0.0000,0.0000
35,0.0,0,0.0000,0.0263,0.8728,0.6701,0.0000,0.0000,0.0000
36,0.0,0,0.0000,0.0406,0.8597,0.7096,0.0000,0.0000,0.0000
37,0.0,0,0.0000,0.0218,0.8519,0.7595,0.0092,0.0000,0.0000
38,0.0,0,0.0000,0.0124,0.8438,0.7922,0.0135,0.0000,0.0000
39,0.0,0,0.0000,0.0091,0.8436,0.8158,0.0074,0.0000,0.0000
40,0.0,0,0.0000,0.0133,0.8356,0.8408,0.0065,0.0000,0.0000
41,0.0,0,0.0000,0.0000,0.8216,0.8567,0.0074,0.0000,0.0000
42,0.0,0,0.0000,0.0000,0.8087,0.8704,0.0132,0.0000,0.0000
43,0.0,0,0.0000,0.0082,0.7900,0.8836,0.0000,0.0000,0.0000
44,0.0,0,0.0000,0.0056,0.7753,0.8940,0.0216,0.0000,0.0000
45,0.0,0,0.0000,0.0080,0.7573,0.9049,0.0317,0.0000,0.0000
46,0.0,0,0.0000,0.0226,0.7240,0.9075,0.0275,0.0000,0.0000
47,0.0,0,0.0000,0.0191,0.6806,0.9182,0.0384,0.0000,0.0000
48,0.0,0,0.0000,0.0034,0.6168,0.9170,0.0448,0.0000,0.0000
49,0.0,0,0.0000,0.0058,0.5501,0.9280,0.0477,0.0000,0.0000
50,0.0,0,0.0000,0.0000,0.5183,0.9306,0.0491,0.0000,0.0000
51,0.0,0,0.0000,0.0000,0.4672,0.9319,0.0753,0.0000,0.0000
52,0.0,0,0.0000,0.0000,0.4201,0.9340,0.1542,0.0000,0.0000
53,0.0,0,0.0000,0.0076,0.3736,0.9371,0.2708,0.0000,0.0000
54,0.0,0,0.0000,0.0000,0.3202,0.9376,0.3701,0.0000,0.0000
55,0.0,0,0.0000,0.0000,0.2609,0.9404,0.4494,0.0000,0.0000
56,0.0,0,0.0000,0.0000,0.1889,0.9409,0.5247,0.0000,0.0000
57,0.0,0,0.0000,0.0121,0.0725,0.9428,0.5754,0.0000,0.0000
58,0.0,0,0.0000,0.0033,0.0353,0.9384,0.6215,0.0000,0.0000
59,0.0,0,0.0000,0.0048,0.0268,0.9406,0.6938,0.0000,0.0000
60,0.0,0,0.0000,0.0022,0.0088,0.9400,0.7268,0.0000,0.0000
61,0.0,0,0.0000,0.0000,0.0051,0.9361,0.7606,0.0000,0.0000
62,0.0,0,0.0000,0.0000,0.0000,0.9337,0.8012,0.0000,0.0000
63,0.0,0,0.0000,0.0000,0.0000,0.9249,0.8208,0.0000,0.0000
64,0.0,0,0.0000,0.0000,0.0000,0.9236,0.8516,0.0002,0.0000
65,0.0,0,0.0000,0.0065,0.0000,0.9215,0.8687,0.0015,0.0000
66,0.0,0,0.0000,0.0000,0.0000,0.9081,0.8857,0.0017,0.0000
67,0.0,0,0.0000,0.0000,0.0000,0.9014,0.9027,0.0070,0.0000
68,0.0,0,0.0000,0.0000,0.0000,0.8920,0.9110,0.0005,0.0000
69,0.0,0,0.0000,0.0000,0.0000,0.8887,0.9266,0.0120,0.0000
70,0.0,0,0.0000,0.0000,0.0000,0.8714,0.9348,0.0085,0.0000
0,-2.5,0,0.6542,0.8728,0.1007,0.0000,0.0000,0.0000,0.0000
1,-2.5,0,0.6270,0.8852,0.1224,0.0000,0.0150,0.0000,0.0000
2,-2.5,0,0.5803,0.8889,0.1415,0.0000,0.0115,0.0000,0.0000
3,-2.5,0,0.5228,0.8990,0.1799,0.0000,0.0043,0.0000,0.0000
4,-2.5,0,0.4434,0.9043,0.2695,0.0000,0.0176,0.0000,0.0000
5,-2.5,0,0.3509,0.8965,0.3362,0.0000,0.0090,0.0000,0.0000
6,-2.5,0,0.2857,0.9030,0.3985,0.0000,0.0173,0.0000,0.0000
7,-2.5,0,0.1973,0.8982,0.4571,0.0000,0.0147,0.0005,0.0000
