sep=,
timestamp, deadSpace, offset, spikeWidth, ratio, X, Y, Z, area, sensor1, sensor2, sensor3, sensor4, sensor5, sensor6, sensor7
2017-07-27T23:12:21+02:00,100,100,75,55,0,0,-68.199,1.25,926, 71, 826, 833, 887, 879, 922
2017-07-27T23:12:23+02:00,100,100,75,55,0,1,-68.199,1.25,933, 73, 769, 878, 889, 884, 924
2017-07-27T23:12:24+02:00,100,100,75,55,0,2,-68.199,1.25,948, 75, 685, 853, 895, 880, 923
2017-07-27T23:12:26+02:00,100,100,75,55,0,3,-68.204,1.25,939, 76, 641, 838, 877, 886, 928
2017-07-27T23:12:27+02:00,100,100,75,55,0,4,-68.199,1.25,926, 85, 578, 870, 890, 878, 914
2017-07-27T23:12:29+02:00,100,100,75,55,0,5,-68.199,1.25,933, 90, 526, 864, 904, 876, 917
2017-07-27T23:12:30+02:00,100,100,75,55,0,6,-68.199,1.25,934, 90, 437, 859, 886, 884, 920
2017-07-27T23:12:32+02:00,100,100,75,55,0,7,-68.199,1.25,933, 95, 377, 859, 885, 876, 930
2017-07-27T23:12:33+02:00,100,100,75,55,0,8,-68.204,1.25,943, 104, 339, 858, 888, 875, 934
2017-07-27T23:12:35+02:00,100,100,75,55,0,9,-68.199,1.25,928, 124, 298, 849, 890, 873, 923
2017-07-27T23:12:36+02:00,100,100,75,55,0,10,-68.199,1.25,927, 144, 266, 849, 883, 874, 901
2017-07-27T23:12:38+02:00,100,100,75,55,0,11,-68.199,1.25,916, 172, 234, 837, 915, 892, 931
2017-07-27T23:12:39+02:00,100,100,75,55,0,12,-68.199,1.25,934, 202, 221, 845, 892, 887, 922
2017-07-27T23:12:41+02:00,100,100,75,55,0,13,-68.204,1.25,937, 241, 206, 841, 880, 867, 919
2017-07-27T23:12:42+02:00,100,100,75,55,0,14,-68.199,1.25,949, 292, 190, 850, 892, 880, 917
2017-07-27T23:12:44+02:00,100,100,75,55,0,15,-68.199,1.25,941, 358, 177, 854, 886, 877, 923
2017-07-27T23:12:45+02:00,100,100,75,55,0,16,-68.199,1.25,936, 461, 168, 843, 900, 885, 919
2017-07-27T23:12:47+02:00,100,100,75,55,0,17,-68.199,1.25,944, 546, 155, 842, 878, 874, 916
2017-07-27T23:12:48+02:00,100,100,75,55,0,18,-68.204,1.25,948, 674, 152, 848, 886, 880, 935
2017-07-27T23:12:50+02:00,100,100,75,55,0,19,-68.199,1.25,947, 820, 148, 858, 896, 870, 922
2017-07-27T23:12:51+02:00,100,100,75,55,0,20,-68.199,1.25,951, 829, 145, 831, 882, 879, 915
2017-07-27T23:12:52+02:00,100,100,75,55,0,21,-68.199,1.25,938, 848, 148, 839, 906, 871, 931
2017-07-27T23:12:54+02:00,100,100,75,55,0,22,-68.199,1.25,943, 849, 139, 839, 898, 875, 930
2017-07-27T23:12:56+02:00,100,100,75,55,0,23,-68.204,1.25,937, 869, 139, 835, 907, 879, 920
2017-07-27T23:12:57+02:00,100,100,75,55,0,24,-68.199,1.25,940, 865, 133, 834, 904, 881, 907
