X,Y,Z,strip1,strip2,strip3,strip4,strip5,strip6,strip7
0,0.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0,0,0.1122,0.7400,0.1372,0.0000,0.0000,0.0000,0.0000
1,0.0,0,0.1023,0.7318,0.1690,0.0000,0.0000,0.0000,0.0000
2,0.0,0,0.0808,0.7285,0.1748,0.0000,0.0000,0.0000,0.0000
3,0.0,0,0.0607,0.7145,0.1942,0.0000,0.0000,0.0000,0.0000
4,0.0,0,0.0407,0.7083,0.2300,0.0000,0.0000,0.0000,0.0000
5,0.0,0,0.0218,0.6960,0.2590,0.0000,0.0000,0.0000,0.0000
6,0.0,0,0.0080,0.6880,0.2911,0.0000,0.0000,0.0000,0.0000
7,0.0,0,0.0099,0.6920,0.3402,0.0000,0.0000,0.0000,0.0000
8,0.0,0,0.0000,0.6512,0.3598,0.0000,0.0000,0.0000,0.0000
9,0.0,0,0.0000,0.6276,0.4080,0.0000,0.0000,0.0000,0.0000
10,0.0,0,0.0000,0.5920,0.4502,0.0000,0.0000,0.0000,0.0000
11,0.0,0,0.0000,0.5743,0.4976,0.0000,0.0000,0.0000,0.0000
12,0.0,0,0.0000,0.5644,0.5562,0.0000,0.0000,0.0000,0.0000
13,0.0,0,0.0000,0.5288,0.5701,0.0000,0.0000,0.0000,0.0000
14,0.0,0,0.0000,0.4894,0.6009,0.0000,0.0000,0.0000,0.0000
15,0.0,0,0.0000,0.4464,0.6231,0.0000,0.0000,0.0000,0.0000
16,0.0,0,0.0000,0.3986,0.6490,0.0000,0.0000,0.0000,0.0000
17,0.0,0,0.0000,0.3336,0.6611,0.0085,0.0000,0.0000,0.0000
18,0.0,0,0.0000,0.2887,0.6639,0.0239,0.0000,0.0000,0.0000
19,0.0,0,0.0000,0.2490,0.6623,0.0366,0.0000,0.0000,0.0000
20,0.0,0,0.0000,0.1986,0.6713,0.1179,0.0000,0.0000,0.0000
21,0.0,0,0.0000,0.1632,0.6603,0.1667,0.0000,0.0000,0.0000
22,0.0,0,0.0000,0.1331,0.6906,0.1918,0.0000,0.0000,0.0000
23,0.0,0,0.0000,0.1089,0.6951,0.2437,0.0000,0.0000,0.0000
24,0.0,0,0.0000,0.0743,0.7050,0.2744,0.0000,0.0000,0.0000
25,0.0,0,0.0000,0.0516,0.7240,0.3386,0.0000,0.0000,0.0000
26,0.0,0,0.0000,0.0213,0.7237,0.3838,0.0000,0.0000,0.0000
27,0.0,0,0.0000,0.0209,0.7268,0.4292,0.0000,0.0000,0.0000
28,0.0,0,0.0000,0.0157,0.7344,0.4632,0.0000,0.0000,0.0000
29,0.0,0,0.0000,0.0000,0.7490,0.5300,0.0000,0.0000,0.0000
30,0.0,0,0.0000,0.0008,0.7542,0.5755,0.0000,0.0000,0.0000
31,0.0,0,0.0000,0.0000,0.7458,0.6231,0.0000,0.0000,0.0000
32,0.0,0,0.0000,0.0000,0.7548,0.6428,0.0000,0.0000,0.0000
33,0.0,0,0.0000,0.0000,0.7366,0.6886,0.0000,0.0000,0.0000
34,0.0,0,0.0000,0.0000,0.7277,0.7164,0.0000,0.0000,0.0000
35,0.0,0,0.0000,0.0000,0.7140,0.7498,0.0000,0.0000,0.0000
36,0.0,0,0.0000,0.0000,0.6894,0.7695,0.0041,0.0000,0.0000
37,0.0,0,0.0000,0.0000,0.6754,0.7944,0.0091,0.0000,0.0000
38,0.0,0,0.0000,0.0000,0.6219,0.8075,0.0000,0.0000,0.0000
39,0.0,0,0.0000,0.0000,0.5861,0.8356,0.0125,0.0000,0.0000
40,0.0,0,0.0000,0.0000,0.5437,0.8450,0.0054,0.0000,0.0000
41,0.0,0,0.0000,0.0000,0.4983,0.8527,0.0422,0.0000,0.0000
42,0.0,0,0.0000,0.0000,0.4792,0.8539,0.0716,0.0000,0.0000
43,0.0,0,0.0000,0.0000,0.4372,0.8624,0.1058,0.0000,0.0000
44,0.0,0,0.0000,0.0000,0.4155,0.8700,0.1966,0.0000,0.0000
45,0.0,0,0.0000,0.0000,0.3886,0.8774,0.2838,0.0000,0.0000
46,0.0,0,0.0000,0.0000,0.3311,0.8806,0.3527,0.0000,0.0000
47,0.0,0,0.0000,0.0000,0.3122,0.8810,0.4177,0.0000,0.0000
48,0.0,0,0.0000,0.0000,0.2539,0.8728,0.4544,0.0000,0.0000
49,0.0,0,0.0000,0.0000,0.2266,0.8788,0.5096,0.0000,0.0000
