X,Y,Z,strip1,strip2,strip3,strip4,strip5,strip6,strip7
0,0,0,932,276,316,901,939,897,975
1,0,0,929,305,295,899,932,899,981
2,0,0,927,339,289,892,942,913,984
3,0,0,915,380,286,868,952,892,985
4,0,0,929,431,279,881,917,896,984
5,0,0,938,475,273,886,946,895,977
6,0,0,936,511,282,880,941,911,976
7,0,0,941,562,258,906,968,918,978
8,0,0,940,621,262,894,946,907,971
9,0,0,938,653,252,896,959,914,983
10,0,0,945,698,245,911,981,896,987
11,0,0,939,726,231,876,944,907,973
12,0,0,944,768,226,860,934,902,968
13,0,0,937,792,210,873,949,903,979
14,0,0,947,819,196,888,973,906,984
15,0,0,935,839,188,834,957,889,971
16,0,0,937,851,199,695,952,908,979
17,0,0,947,878,209,623,950,893,975
18,0,0,932,894,209,511,940,909,972
19,0,0,927,883,199,466,951,902,969
20,0,0,924,879,204,400,952,906,959
21,0,0,931,891,208,377,951,902,982
22,0,0,944,868,209,370,979,909,971
23,0,0,939,900,214,316,965,899,972
24,0,0,946,917,226,273,954,910,977
25,0,0,923,901,235,249,944,913,981
26,0,0,926,899,259,221,962,908,976
27,0,0,926,892,278,195,945,923,975
28,0,0,923,889,293,177,952,912,969
29,0,0,921,881,320,159,945,905,995
30,0,0,926,873,343,150,926,907,984
31,0,0,922,886,367,142,943,927,973
32,0,0,915,880,399,134,921,915,992
33,0,0,932,901,445,128,948,905,980
34,0,0,922,897,472,128,921,899,969
35,0,0,942,880,515,125,925,914,961
36,0,0,927,893,552,126,929,912,973
37,0,0,929,894,631,120,928,924,979
38,0,0,929,877,675,125,914,916,980
39,0,0,931,882,719,131,898,911,988
40,0,0,933,890,740,129,806,922,985
41,0,0,933,886,775,140,744,919,967
42,0,0,923,876,801,139,652,919,978
43,0,0,928,886,815,148,555,914,974
44,0,0,929,879,867,157,516,918,982
45,0,0,944,900,888,165,447,914,980
46,0,0,912,892,881,177,363,919,976
47,0,0,919,878,889,185,315,920,965
48,0,0,924,871,915,198,261,928,982
49,0,0,928,895,932,208,233,919,972
50,0,0,929,898,938,234,217,920,977
51,0,0,923,885,920,259,199,923,976
52,0,0,913,895,934,285,192,912,978
53,0,0,930,885,925,313,170,908,986
54,0,0,932,895,919,335,156,915,984
55,0,0,926,877,926,369,162,905,964
56,0,0,941,891,927,409,156,918,982
57,0,0,912,889,922,433,143,904,998
58,0,0,913,856,925,465,144,913,974
59,0,0,925,892,935,522,138,897,974
60,0,0,940,896,921,549,132,899,969
61,0,0,930,871,931,591,127,891,979
62,0,0,923,884,927,635,122,891,970
