X,Y,Z,strip1,strip2,strip3,strip4,strip5,strip6,strip7
0,0.0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0,0,0.2296,0.6614,0.0251,0.0000,0.0000,0.0000,0.0000
1,0.0,0,0.1839,0.6653,0.0630,0.0000,0.0000,0.0000,0.0000
2,0.0,0,0.1436,0.6659,0.1117,0.0000,0.0000,0.0000,0.0000
3,0.0,0,0.0680,0.6758,0.1420,0.0000,0.0000,0.0000,0.0000
4,0.0,0,0.0195,0.6635,0.2374,0.0000,0.0000,0.0000,0.0000
5,0.0,0,0.0000,0.6617,0.2587,0.0000,0.0000,0.0000,0.0000
6,0.0,0,0.0000,0.6703,0.2879,0.0000,0.0000,0.0000,0.0000
7,0.0,0,0.0000,0.6716,0.3512,0.0000,0.0000,0.0000,0.0000
8,0.0,0,0.0000,0.6678,0.4056,0.0000,0.0000,0.0000,0.0000
9,0.0,0,0.0000,0.6456,0.4618,0.0000,0.0000,0.0000,0.0000
10,0.0,0,0.0000,0.6354,0.4762,0.0000,0.0000,0.0000,0.0000
11,0.0,0,0.0000,0.6025,0.4813,0.0000,0.0000,0.0000,0.0000
12,0.0,0,0.0000,0.5936,0.4961,0.0000,0.0000,0.0000,0.0000
13,0.0,0,0.0000,0.5608,0.5023,0.0000,0.0000,0.0000,0.0000
14,0.0,0,0.0000,0.5166,0.5002,0.0000,0.0000,0.0000,0.0000
15,0.0,0,0.0000,0.4540,0.4849,0.0000,0.0000,0.0000,0.0000
16,0.0,0,0.0000,0.3916,0.4627,0.0000,0.0000,0.0000,0.0000
17,0.0,0,0.0000,0.3193,0.4403,0.0000,0.0000,0.0000,0.0000
18,0.0,0,0.0000,0.2908,0.4530,0.0000,0.0000,0.0000,0.0000
19,0.0,0,0.0000,0.2639,0.4569,0.0000,0.0000,0.0000,0.0000
20,0.0,0,0.0000,0.2177,0.4575,0.0000,0.0000,0.0000,0.0000
21,0.0,0,0.0000,0.2196,0.4875,0.0000,0.0000,0.0000,0.0000
22,0.0,0,0.0000,0.1590,0.4940,0.0000,0.0000,0.0000,0.0000
23,0.0,0,0.0000,0.0870,0.5190,0.0000,0.0000,0.0000,0.0000
24,0.0,0,0.0000,0.0379,0.5457,0.0114,0.0000,0.0000,0.0000
25,0.0,0,0.0000,0.0187,0.5597,0.0608,0.0000,0.0000,0.0000
26,0.0,0,0.0000,0.0000,0.5848,0.1279,0.0000,0.0000,0.0000
27,0.0,0,0.0000,0.0000,0.5875,0.1649,0.0000,0.0000,0.0000
28,0.0,0,0.0000,0.0000,0.5879,0.2147,0.0000,0.0000,0.0000
29,0.0,0,0.0000,0.0000,0.6050,0.2511,0.0000,0.0000,0.0000
30,0.0,0,0.0000,0.0000,0.5836,0.2931,0.0000,0.0000,0.0000
31,0.0,0,0.0000,0.0000,0.5763,0.3273,0.0000,0.0000,0.0000
32,0.0,0,0.0000,0.0000,0.5843,0.3941,0.0000,0.0000,0.0000
33,0.0,0,0.0000,0.0000,0.5695,0.4657,0.0000,0.0000,0.0000
34,0.0,0,0.0000,0.0000,0.5363,0.4841,0.0000,0.0000,0.0000
35,0.0,0,0.0000,0.0000,0.5243,0.5369,0.0000,0.0000,0.0000
36,0.0,0,0.0000,0.0000,0.4995,0.5362,0.0000,0.0000,0.0000
37,0.0,0,0.0000,0.0000,0.4728,0.5351,0.0000,0.0000,0.0000
38,0.0,0,0.0000,0.0000,0.4608,0.5176,0.0000,0.0000,0.0000
39,0.0,0,0.0000,0.0000,0.3991,0.5054,0.0000,0.0000,0.0000
40,0.0,0,0.0000,0.0000,0.3609,0.5161,0.0000,0.0000,0.0000
41,0.0,0,0.0000,0.0000,0.3082,0.5254,0.0000,0.0000,0.0000
