DigitWidth, DigitHeight, TouchSize, Pressure, Method, Error
35, 55, 1.25, 0, NAIVE, 5.9604645E-8
35, 55, 1.25, 0, NAIVE, 2.9802322E-8
35, 55, 1.25, 0, NAIVE, 1.1920929E-7
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 4.7683716E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.047196
35, 55, 1.25, 0, NAIVE, 11.283836
35, 55, 1.25, 0, NAIVE, 6.743383
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 4.7683716E-7
35, 55, 1.25, 0, NAIVE, 4.7683716E-7
35, 55, 1.25, 0, NAIVE, 2.3841858E-7
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 2.3841858E-7
35, 55, 1.25, 0, NAIVE, 4.7683716E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.047195
35, 55, 1.25, 0, NAIVE, 6.7433825
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 2.3841858E-7
35, 55, 1.25, 0, NAIVE, 2.3841858E-7
35, 55, 1.25, 0, NAIVE, 1.1920929E-7
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 8.940697E-8
35, 55, 1.25, 0, NAIVE, 2.3841858E-7
35, 55, 1.25, 0, NAIVE, 2.3841858E-7
35, 55, 1.25, 0, NAIVE, 2.3841858E-7
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 10.446804
35, 55, 1.25, 0, NAIVE, 9.047195
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 9.536743E-7
35, 55, 1.25, 0, NAIVE, 0.0
35, 55, 1.25, 0, NAIVE, 4.7683716E-7
35, 55, 1.25, 0, NAIVE, 4.7683716E-7
35, 55, 1.25, 0, NAIVE, 4.7683716E-7
35, 55, 1.25, 0, NAIVE, 2.3841858E-7
35, 55, 1.25, 0, NAIVE, 2.3841858E-7
35, 55, 1.25, 0, LINEAR, 0.3407344
35, 55, 1.25, 0, LINEAR, 0.3927977
35, 55, 1.25, 0, LINEAR, 0.46808884
35, 55, 1.25, 0, LINEAR, 0.5148387
35, 55, 1.25, 0, LINEAR, 0.5112981
35, 55, 1.25, 0, LINEAR, 0.6624309
35, 55, 1.25, 0, LINEAR, 0.5481523
35, 55, 1.25, 0, LINEAR, 0.5886302
35, 55, 1.25, 0, LINEAR, 0.6545972
35, 55, 1.25, 0, LINEAR, 0.8293403
35, 55, 1.25, 0, LINEAR, 2.8810775
35, 55, 1.25, 0, LINEAR, 3.3727856
35, 55, 1.25, 0, LINEAR, 1.9294314
35, 55, 1.25, 0, LINEAR, 0.3144594
35, 55, 1.25, 0, LINEAR, 0.3775201
35, 55, 1.25, 0, LINEAR, 0.35019854
35, 55, 1.25, 0, LINEAR, 0.3902875
35, 55, 1.25, 0, LINEAR, 0.367112
35, 55, 1.25, 0, LINEAR, 0.33091497
35, 55, 1.25, 0, LINEAR, 0.4331231
35, 55, 1.25, 0, LINEAR, 0.46723977
35, 55, 1.25, 0, LINEAR, 0.25401005
35, 55, 1.25, 0, LINEAR, 0.11375091
35, 55, 1.25, 0, LINEAR, 0.17951934
35, 55, 1.25, 0, LINEAR, 0.28900206
35, 55, 1.25, 0, LINEAR, 0.4792472
35, 55, 1.25, 0, LINEAR, 0.41282654
35, 55, 1.25, 0, LINEAR, 0.43987364
35, 55, 1.25, 0, LINEAR, 0.65917516
35, 55, 1.25, 0, LINEAR, 0.70804024
35, 55, 1.25, 0, LINEAR, 0.6356117
35, 55, 1.25, 0, LINEAR, 0.73115224
35, 55, 1.25, 0, LINEAR, 0.56733567
35, 55, 1.25, 0, LINEAR, 0.56186515
35, 55, 1.25, 0, LINEAR, 0.45430326
35, 55, 1.25, 0, LINEAR, 0.5636978
35, 55, 1.25, 0, LINEAR, 2.777586
35, 55, 1.25, 0, LINEAR, 2.0610325
35, 55, 1.25, 0, LINEAR, 0.31458306
35, 55, 1.25, 0, LINEAR, 0.40652105
35, 55, 1.25, 0, LINEAR, 0.39130792
35, 55, 1.25, 0, LINEAR, 0.37025404
35, 55, 1.25, 0, LINEAR, 0.28322944
35, 55, 1.25, 0, LINEAR, 0.36965352
35, 55, 1.25, 0, LINEAR, 0.3754697
35, 55, 1.25, 0, LINEAR, 0.33880076
35, 55, 1.25, 0, LINEAR, 0.123049475
35, 55, 1.25, 0, LINEAR, 0.16915716
35, 55, 1.25, 0, LINEAR, 0.16382088
35, 55, 1.25, 0, LINEAR, 0.27013165
35, 55, 1.25, 0, LINEAR, 0.361925
35, 55, 1.25, 0, LINEAR, 0.57937056
35, 55, 1.25, 0, LINEAR, 0.5883648
35, 55, 1.25, 0, LINEAR, 0.83752126
35, 55, 1.25, 0, LINEAR, 0.90437406
35, 55, 1.25, 0, LINEAR, 0.94751185
35, 55, 1.25, 0, LINEAR, 0.89263815
35, 55, 1.25, 0, LINEAR, 0.8688089
35, 55, 1.25, 0, LINEAR, 0.8095128
35, 55, 1.25, 0, LINEAR, 0.635027
35, 55, 1.25, 0, LINEAR, 3.1030521
35, 55, 1.25, 0, LINEAR, 2.6848433
35, 55, 1.25, 0, LINEAR, 0.21325146
35, 55, 1.25, 0, LINEAR, 0.24032186
35, 55, 1.25, 0, LINEAR, 0.30499467
35, 55, 1.25, 0, LINEAR, 0.34929118
35, 55, 1.25, 0, LINEAR, 0.43663907
35, 55, 1.25, 0, LINEAR, 0.46169192
35, 55, 1.25, 0, LINEAR, 0.36917847
35, 55, 1.25, 0, LINEAR, 0.31528428
35, 55, 1.25, 0, GAUSSIAN, 0.39799893
35, 55, 1.25, 0, GAUSSIAN, 0.37948567
35, 55, 1.25, 0, GAUSSIAN, 0.3252582
35, 55, 1.25, 0, GAUSSIAN, 0.2680894
35, 55, 1.25, 0, GAUSSIAN, 0.2184715
35, 55, 1.25, 0, GAUSSIAN, 0.2482357
35, 55, 1.25, 0, GAUSSIAN, 0.1789816
35, 55, 1.25, 0, GAUSSIAN, 0.17429762
35, 55, 1.25, 0, GAUSSIAN, 0.2203081
35, 55, 1.25, 0, GAUSSIAN, 0.21163858
35, 55, 1.25, 0, GAUSSIAN, 0.2667794
35, 55, 1.25, 0, GAUSSIAN, 0.42505097
35, 55, 1.25, 0, GAUSSIAN, 0.58933926
35, 55, 1.25, 0, GAUSSIAN, 0.38959652
35, 55, 1.25, 0, GAUSSIAN, 0.7533037
35, 55, 1.25, 0, GAUSSIAN, 0.6685574
35, 55, 1.25, 0, GAUSSIAN, 0.8989991
35, 55, 1.25, 0, GAUSSIAN, 1.0096065
35, 55, 1.25, 0, GAUSSIAN, 0.85978526
35, 55, 1.25, 0, GAUSSIAN, 1.0820898
35, 55, 1.25, 0, GAUSSIAN, 1.1032729
35, 55, 1.25, 0, GAUSSIAN, 1.297489
35, 55, 1.25, 0, GAUSSIAN, 0.8541403
35, 55, 1.25, 0, GAUSSIAN, 2.748041
35, 55, 1.25, 0, GAUSSIAN, 2.875944
35, 55, 1.25, 0, GAUSSIAN, 2.2164867
35, 55, 1.25, 0, GAUSSIAN, 0.84056574
35, 55, 1.25, 0, GAUSSIAN, 1.1674243
35, 55, 1.25, 0, GAUSSIAN, 0.78415155
35, 55, 1.25, 0, GAUSSIAN, 1.0388356
35, 55, 1.25, 0, GAUSSIAN, 0.75767344
35, 55, 1.25, 0, GAUSSIAN, 0.7582735
35, 55, 1.25, 0, GAUSSIAN, 0.43255222
35, 55, 1.25, 0, GAUSSIAN, 0.6316407
35, 55, 1.25, 0, GAUSSIAN, 0.30190805
35, 55, 1.25, 0, GAUSSIAN, 0.21484876
35, 55, 1.25, 0, GAUSSIAN, 0.3089113
35, 55, 1.25, 0, GAUSSIAN, 0.55735654
35, 55, 1.25, 0, GAUSSIAN, 0.50029415
35, 55, 1.25, 0, GAUSSIAN, 0.80192715
35, 55, 1.25, 0, GAUSSIAN, 0.7193613
35, 55, 1.25, 0, GAUSSIAN, 0.9979633
35, 55, 1.25, 0, GAUSSIAN, 0.7404439
35, 55, 1.25, 0, GAUSSIAN, 1.8293182
35, 55, 1.25, 0, GAUSSIAN, 1.5852377
35, 55, 1.25, 0, GAUSSIAN, 2.8924382
35, 55, 1.25, 0, GAUSSIAN, 3.02713
35, 55, 1.25, 0, GAUSSIAN, 2.4524899
35, 55, 1.25, 0, GAUSSIAN, 2.2885313
35, 55, 1.25, 0, GAUSSIAN, 0.91456527
35, 55, 1.25, 0, GAUSSIAN, 1.1928445
35, 55, 1.25, 0, GAUSSIAN, 0.69007075
35, 55, 1.25, 0, GAUSSIAN, 0.2839052
35, 55, 1.25, 0, GAUSSIAN, 0.37647954
35, 55, 1.25, 0, GAUSSIAN, 0.3401999
35, 55, 1.25, 0, GAUSSIAN, 0.32330948
35, 55, 1.25, 0, GAUSSIAN, 0.23065053
35, 55, 1.25, 0, GAUSSIAN, 0.24777395
35, 55, 1.25, 0, GAUSSIAN, 0.21558496
35, 55, 1.25, 0, GAUSSIAN, 0.15593076
35, 55, 1.25, 0, GAUSSIAN, 0.18267442
35, 55, 1.25, 0, GAUSSIAN, 0.20117944
35, 55, 1.25, 0, GAUSSIAN, 0.19214956
35, 55, 1.25, 0, GAUSSIAN, 0.20765617
35, 55, 1.25, 0, GAUSSIAN, 0.53404117
35, 55, 1.25, 0, GAUSSIAN, 0.37143987
35, 55, 1.25, 0, GAUSSIAN, 0.8404824
35, 55, 1.25, 0, GAUSSIAN, 0.4459223
35, 55, 1.25, 0, GAUSSIAN, 0.75932676
35, 55, 1.25, 0, GAUSSIAN, 1.3015122
35, 55, 1.25, 0, CUBIC, 0.08530847
35, 55, 1.25, 0, CUBIC, 0.10807057
35, 55, 1.25, 0, CUBIC, 0.15129085
35, 55, 1.25, 0, CUBIC, 0.21313414
35, 55, 1.25, 0, CUBIC, 0.27844146
35, 55, 1.25, 0, CUBIC, 0.4651139
35, 55, 1.25, 0, CUBIC, 0.5308206
35, 55, 1.25, 0, CUBIC, 0.75521475
35, 55, 1.25, 0, CUBIC, 1.1535244
35, 55, 1.25, 0, CUBIC, 1.8737689
35, 55, 1.25, 0, CUBIC, 2.2747436
35, 55, 1.25, 0, CUBIC, 2.4171207
35, 55, 1.25, 0, CUBIC, 2.0945911
35, 55, 1.25, 0, CUBIC, 1.6217864
35, 55, 1.25, 0, CUBIC, 1.2123908
35, 55, 1.25, 0, CUBIC, 0.7828411
35, 55, 1.25, 0, CUBIC, 0.56040204
35, 55, 1.25, 0, CUBIC, 0.38897598
35, 55, 1.25, 0, CUBIC, 0.2650514
35, 55, 1.25, 0, CUBIC, 0.23674677
35, 55, 1.25, 0, CUBIC, 0.16626257
35, 55, 1.25, 0, CUBIC, 0.06894761
35, 55, 1.25, 0, CUBIC, 0.029671319
35, 55, 1.25, 0, CUBIC, 0.03830544
35, 55, 1.25, 0, CUBIC, 0.05834562
35, 55, 1.25, 0, CUBIC, 0.107797585
35, 55, 1.25, 0, CUBIC, 0.102782264
35, 55, 1.25, 0, CUBIC, 0.15031812
35, 55, 1.25, 0, CUBIC, 0.28777006
35, 55, 1.25, 0, CUBIC, 0.4036377
35, 55, 1.25, 0, CUBIC, 0.44906452
35, 55, 1.25, 0, CUBIC, 0.65585023
